HeLa mRNA decay rates			
Gene	Rate	Error	Level
COX10	0.0021	0.07	1185.1
COX11	-0.003	0.12	1472.7
COX15	-0.0017	0.07	1779.3
COX16	-0.0029	0.18	3690.5
COX17	0	0.14	2560.7
COX18	-0.0004	0.29	1081.3
COX4I1	-0.0017	0.05	14658.2
COX4NB	0.0014	0.07	3307.6
COX5A	-0.0028	0.05	7089.2
COX5B	-0.0009	0.06	12385.6
COX6B1	-0.0002	0.12	11993.9
COX6C	-0.0017	0.14	13406.2
COX7A2	-0.0023	0.09	15283
COX7A2L	-0.0018	0.04	7313.8
COX7B	-0.0023	0.19	8623.3
COX7C	-0.0006	0.23	21849
COX8A	-0.0014	0.1	12952.4
CPD	-0.0016	0.02	1047.2
CPE	-0.0045	0.26	470.5
CPEB2	0.0094	0.32	875.7
CPEB4	0.0061	0.37	421.1
CPM	-0.0019	0.09	584.4
CPNE1	-0.0004	0.05	3199.2
CPNE2	-0.0013	0.08	1112.4
CPNE3	-0.002	0.09	2664.8
CPNE8	-0.0013	0.18	398.3
CPOX	-0.0072	0.44	296.9
CPS1	-0.0014	0.05	11909.3
CPSF2	-0.001	0.22	1182.8
CPSF3	-0.002	0.06	1465.2
CPSF3L	-0.0004	0.07	798.7
CPSF4	-0.0002	0.14	1050.2
CPSF6	-0.0032	0.09	1613.7
CPSF7	0.0022	0.07	1030.8
CPT1A	0.0008	0.16	742.2
CPT1B	0.0002	0.14	162.1
CPT2	-0.0008	0.16	433.3
CPVL	-0.0028	0.25	368.1
CRADD	0.0012	0.08	510.5
CRAMP1L	0.0061	0.42	225.2
CRBN	0.0012	0.12	859.2
CREB1	0.0038	0.28	920.3
CREB3	0.0004	0.04	1260.1
CREB3L2	0.0006	0.12	350.4
CREB3L4	-0.0003	0.39	360
CREBBP	0.0056	0.27	711.4
CREBL2	-0.0001	0.05	2070.3
CREBZF	0.0018	0.15	669.4
CREG1	-0.0024	0.12	5135.7
CRELD2	0	0.18	2342.5
CREM	0.0003	0.16	666
CRIM1	-0.0047	0.14	1206.3
CRIP2	-0.0026	0.26	641.3
CRIPAK	0.0003	0.4	324
CRIPT	-0.0025	0.18	1791.2
CRISPLD2	0.0002	0.06	570.4
CRK	0.0033	0.16	1944.3
CRKL	0.0067	0.08	969.6
CRKRS	0.0016	0.07	635.7
CRLF1	0.0009	0.08	325.6
CRLF3	0.0001	0.13	1457.3
CRLS1	0.0005	0.03	1093.1
CRNKL1	0.0005	0.03	624.3
CROT	-0.0063	0.21	185.4
CRTAP	-0.0018	0.15	3191.4
CRTC1	0.0003	0.14	146
CRTC3	0.0069	0.12	3259.9
CRYBB2	0.0003	0.38	422.6
CRYBG3	-0.0022	0.15	452.3
CRYZ	-0.001	0.14	2753.4
CS	-0.0024	0.11	5840
CSDAP1	-0.0033	0.09	8947.6
CSDE1	-0.0019	0.02	8543.6
CSE1L	-0.0012	0.07	9861.3
CSGALNACT1	0.0005	0.12	586.3
CSNK1A1	0.0022	0.23	1035.8
CSNK1D	0.0022	0.05	3240.1
CSNK1E	-0.0001	0.08	363.6
CSNK1G1	0.0084	0.08	255.9
CSNK2A1	0.0016	0.14	927.7
CSNK2A2	-0.0015	0.08	1250.4
CSNK2B	-0.0006	0.21	9852.1
CSPP1	0.0032	0.06	273.4
CSRNP2	0.0137	0.07	352.8
CSRP1	-0.002	0.16	4832.4
CSRP2	-0.001	0.12	4482.3
CSRP2BP	0.0061	0.46	117.4
CST3	-0.0002	0.08	557.1
CSTB	-0.0015	0.22	4338.5
CSTF1	0.0108	0.2	1157.7
CSTF2	-0.0014	0.06	2156.1
CSTF2T	0.0038	0.11	632.1
CSTF3	0.0021	0.03	2483.1
CTBP1	-0.0013	0.14	2322.7
CTBP2	-0.0002	0.16	1554.6
CTBS	-0.0049	0.21	243.6
CTCF	0.0082	0.11	2664.8
CTDP1	0.0011	0.46	232.5
CTDSP1	0.0014	0.22	922.5
CTDSP2	0.0016	0.13	729.6
CTDSPL	0.0024	0.01	678.5
CTDSPL2	0.0033	0.04	1255.5
CTGF	0.0119	0.33	477.3
CTH	0.0017	0.11	1037.9
CTNNA1	-0.0022	0.16	5325.2
CTNNAL1	-0.0039	0.2	5171.1
CTNNB1	-0.0035	0.25	774.4
CTNNBL1	-0.0006	0.19	1647.3
CTNND1	0.0023	0.11	867.1
CTNS	0.0007	0.08	708.5
CTPS	0	0.07	5145.2
CTPS2	0.0004	0.07	989.3
CTR9	-0.002	0.43	1842.1
CTSA	-0.0026	0.26	3627.4
CTSB	-0.0007	0.03	881.7
CTSC	0	0.03	3385.2
CTSD	-0.0017	0.36	489.2
CTSF	-0.0007	0.17	502.2
CTSL1	-0.0027	0.18	2530.3
CTSL2	-0.0029	0.1	1038.8
CTTN	-0.0004	0.22	1453.2
CTTNBP2NL	0.0112	0.12	1133
CUEDC2	-0.0014	0.12	4316.2
CUGBP1	0.0041	0.09	900
CUL1	0.0028	0.24	1901.3
CUL2	0.0003	0.17	798.1
CUL3	-0.0011	0.03	1321.9
CUL4A	-0.0017	0.17	2677.9
CUL4B	-0.0009	0.05	1156.9
CUL5	-0.0012	0.08	771.5
CUTA	-0.002	0.17	9039.1
CUTC	-0.0007	0.04	1520.3
CUX1	-0.0005	0.24	596.8
CWC15	-0.0009	0.37	7554.9
CWC22	0.005	0.14	752
CWF19L1	-0.0006	0.07	838.9
CWF19L2	-0.0011	0.19	311.3
CXADR	0.0012	0.07	1125.3
CXCR4	0.0147	0.04	4414.9
CXCR7	0.0012	0.34	247.6
CXXC1	0.001	0.1	954.4
CXXC5	0.0026	0.07	946.9
CXorf15	0.0035	0.01	1805.2
CXorf24	0.0003	0.17	170.9
CXorf26	0.0033	0.22	292.6
CXorf38	0.0011	0.33	724.7
CXorf39	-0.0022	0.14	1279.8
CXorf61	-0.0037	0.06	2100.4
CYB561	0.0017	0.25	778.6
CYB561D2	0.0009	0.06	1207.9
CYB5A	-0.0024	0.02	2012.6
CYB5B	-0.0039	0.04	736.2
CYB5D1	0.0031	0.06	1126.4
CYB5D2	-0.0012	0.33	308.4
CYB5R1	-0.0017	0.41	686.9
CYB5R3	-0.0021	0.06	2978
CYB5R4	-0.0004	0.07	1472.1
CYB5RL	-0.0006	0.23	166.6
CYBA	0.0002	0.14	1316.9
CYBASC3	-0.0001	0.09	1373
CYBRD1	-0.0013	0.17	837.6
CYC1	-0.0018	0.08	11234.9
CYCS	-0.0018	0.04	6912.3
CYFIP1	-0.0019	0.13	4802.5
CYHR1	0.0016	0.33	222.5
CYLD	0.0011	0.21	179.2
CYP1B1	0.0022	0.1	2601.1
CYP20A1	-0.0022	0.13	402.6
CYP2R1	0.0077	0.06	328.7
CYP2S1	-0.0006	0.42	160.3
CYP51A1	-0.0033	0.03	1617.8
CYTH1	0.0103	0.15	459.2
CYTH2	0.0058	0.32	426.8
CYTSA	0.011	0.07	562
CYTSB	0.0004	0.18	311.2
DAAM1	-0.0007	0.25	456.3
DAD1	-0.0003	0.2	6312.7
DAG1	-0.0009	0.14	4060.3
DAGLB	0.0042	0.26	770.9
DAK	-0.0006	0.11	225.9
DALRD3	-0.0029	0.42	894.4
DAP	-0.0007	0.12	1261.8
DAP3	-0.0014	0.08	3283.4
DAPK1	0.0019	0.31	287.5
DARS	-0.0012	0.01	3421.8
DARS2	0	0.25	1714.5
DAXX	0.002	0.37	1192.4
DAZAP2	-0.0005	0.22	7805
DBF4	0.0078	0.32	1846.1
DBI	-0.0008	0.12	7962.7
DBN1	-0.0024	0.15	1140.5
DBP	0.003	0.4	200.9
DBR1	0.002	0.33	814.8
DBT	-0.0007	0.38	626.6
DCAF13	-0.002	0.13	3645.3
DCAF15	0.002	0.31	373.3
DCAF4	0.0023	0.39	351.3
DCAF5	-0.0003	0.17	316.4
DCAF7	0.0024	0.05	586.8
DCBLD1	0.0071	0.1	1039
DCBLD2	-0.001	0.27	312
DCI	0.0006	0.04	3618.5
DCK	-0.0016	0.38	2367.1
DCLK1	0.0004	0.19	165.6
DCLRE1A	0.0045	0.16	341.2
DCLRE1B	0.0125	0.33	409
DCLRE1C	0.0008	0.05	568.2
DCN	-0.0014	0.15	398.3
DCP1A	0.0082	0.11	971.2
DCP1B	0.0075	0.34	485.5
DCPS	0.0003	0.04	1575.4
DCTD	0.0006	0.05	1957.5
DCTN1	-0.0016	0.15	1249
DCTN2	-0.0008	0.12	3269.2
DCTN3	-0.0014	0.1	3868.9
DCTN4	0.0003	0.1	1039.8
DCTN5	0.0009	0.21	1179.4
DCTN6	-0.0005	0.08	3676.3
DCTPP1	-0.0018	0.04	4648.5
DCUN1D1	-0.0016	0.07	330
DCUN1D2	0.0006	0.13	551.2
DCUN1D4	0.0003	0.15	854.8
DCUN1D5	-0.001	0.04	4852.1
DCXR	-0.0005	0.15	1997.2
DDA1	0.0013	0.37	2428.9
DDAH1	0.002	0.12	296.8
DDAH2	-0.0017	0.22	375.9
DDB1	-0.0036	0.31	4507
DDB2	0.0003	0.12	3061.7
DDHD1	0.0013	0.21	241.1
DDHD2	0.0009	0.2	746.3
DDI2	0.004	0.19	487
DDOST	-0.0008	0.17	5818.1
DDR1	-0.0018	0.06	687
DDRGK1	-0.0011	0.14	1424.9
DDT	0.0002	0.13	3507.8
DDX1	-0.0016	0.21	12787.1
DDX10	0.002	0.04	1829.2
DDX11	0.0016	0.31	1185.7
DDX17	-0.0006	0.12	3011.6
DDX18	-0.0001	0.03	2598.3
DDX19A	-0.0017	0.14	1395
DDX20	0.0113	0.1	1489.6
DDX21	-0.0007	0.02	13214.7
DDX23	0.0015	0.04	2141.9
DDX24	-0.0002	0.07	2644.8
DDX27	-0.0008	0.19	3320.5
DDX28	0.0155	0.13	415
DDX31	0.0048	0.14	455.6
DDX39	-0.0008	0.22	12337
DDX3X	0.0003	0.03	4832.2
DDX41	0.0005	0.1	2162.2
DDX42	-0.0005	0.18	2260.8
DDX46	-0.0023	0.05	4011.8
DDX47	0.0015	0.04	10657.3
DDX49	-0.0017	0.08	1552
DDX5	-0.0025	0.11	13562.5
DDX50	0.0033	0.13	2019.5
DDX51	-0.0004	0.13	268.9
DDX52	0.0001	0.16	603.5
DDX54	-0.0003	0.19	351.2
DDX55	0.0004	0.26	1251.1
DDX56	0.0021	0.22	1021.3
DDX58	0.0031	0.31	168.5
DDX59	0.0046	0.08	409.4
DDX6	-0.0008	0.09	860.2
DECR1	-0.0023	0.05	1150.5
DEDD	0.0036	0.08	718.4
DEDD2	0.007	0.13	983.4
DEF8	-0.0003	0.18	837.2
DEGS1	-0.0004	0.13	4008.2
DEK	-0.0016	0.06	11758.9
DEM1	0.0099	0.16	554.9
DENND1A	-0.0022	0.19	220.3
DENND1B	0.003	0.26	145.5
DENND3	-0.0004	0.28	197.9
DENND4A	0.0024	0.16	157.9
DENND4B	0.0036	0.47	891.1
DENND4C	0.0022	0.26	476.3
DENND5A	0.0008	0.08	3193.7
DENND5B	0.0018	0.1	196.4
DENR	-0.0015	0.04	6043.5
DEPDC1	0.0011	0.17	2182
DEPDC6	-0.0028	0.13	189.3
DEPDC7	0.003	0.29	1700.4
DERA	-0.0033	0.12	3848.4
DERL1	-0.0011	0.06	1507.2
DERL2	-0.0005	0.19	2720.2
DEXI	0.0011	0.26	186.4
DFFA	-0.0002	0.02	1785.5
DFFB	0.0025	0.08	193.3
DFNA5	-0.0015	0.25	872
DGAT1	-0.004	0.22	601.7
DGAT2	-0.0027	0.39	184.8
DGCR14	0.0029	0.47	283.9
DGCR2	-0.0003	0.24	227.5
DGCR8	0.0023	0.06	546.2
DGKA	0.0014	0.06	378.1
DGKE	0.0032	0.48	135
DGKQ	0.002	0.35	154.1
DGKZ	0.0006	0.14	651.9
DGUOK	-0.002	0.01	3695
DHCR24	-0.0009	0.15	2711.6
DHCR7	-0.0003	0.14	1040.7
DHDDS	0.0014	0.12	706.3
DHFRP1	-0.0023	0.12	3197.7
DHODH	0.0005	0.17	375.3
DHPS	0.0005	0.09	1382.8
DHRS1	-0.0005	0.07	444.4
DHRS11	0.0004	0.35	392.8
DHRS13	0.0008	0.12	1163
DHRS3	-0.0021	0.37	155.8
DHRS7	-0.002	0.08	695.3
DHRS7B	-0.0002	0.08	1209.1
DHRSX	-0.0038	0.17	301.8
DHTKD1	-0.0005	0.1	605.5
DHX15	-0.0008	0.1	13364.5
DHX16	0.0025	0.17	2245.9
DHX29	-0.0025	0.45	797.6
DHX30	-0.004	0.18	479
DHX32	0.0013	0.23	1157.3
DHX33	0.002	0.09	3356.9
DHX34	0.0013	0.49	225.2
DHX35	0.0035	0.22	361.5
DHX36	0.0006	0.11	1728.2
DHX37	0.0007	0.19	432.8
DHX38	0	0.21	791.9
DHX40	-0.0005	0.03	4644.5
DHX57	0.0038	0.08	269.6
DHX8	0.0044	0.13	1217.6
DHX9	0.0004	0.05	4002.4
DIABLO	-0.0001	0.03	3554.8
DIAPH1	0.001	0.08	1220
DIAPH2	0.0006	0.08	181.7
DIAPH3	0.0004	0.03	1694.6
DICER1	-0.0019	0.21	621.9
DIDO1	0.0061	0.34	242
DIMT1L	-0.0014	0.1	1957.1
DIO2	0.003	0.3	2390.9
DIP2A	-0.0008	0.1	131.9
DIP2B	0.0034	0.22	941.2
DIRC2	0.0021	0.33	1098.8
DIS3	0.0009	0.11	1278.7
DIS3L	-0.001	0.14	1343
DKC1	-0.0003	0.1	11917.3
DKK1	0.0194	0.25	2110.9
DKK3	-0.0006	0.19	449.8
DLAT	-0.001	0.06	1459
DLD	-0.0028	0.08	3238.3
DLEU1	0.0014	0.12	2278
DLG1	-0.0005	0.07	818.7
DLG3	0.002	0.09	305.6
DLG5	-0.0003	0.09	1464.9
DLGAP4	0.0005	0.19	307.6
DLGAP5	-0.0023	0.03	2911.2
DLSTP	-0.0006	0.26	2647.8
DLX1	0.0173	0.34	652.9
DLX4	-0.0006	0.46	109.8
DMAP1	-0.0017	0.25	958.5
DMD	-0.002	0.2	485.3
DMWD	-0.0028	0.21	135.9
DNA2	-0.0013	0.16	490
DNAH14	-0.0052	0.22	173.4
DNAH5	-0.001	0.17	101.4
DNAJA1	0.0006	0.04	11469.4
DNAJA2	-0.0011	0.11	1524.4
DNAJA3	0.0032	0.04	4693.5
DNAJA4	-0.0002	0.04	722.5
DNAJB1	0.0111	0.11	5192
DNAJB11	-0.0051	0.04	3070.3
DNAJB12	0.0017	0.1	708.6
DNAJB14	0.0015	0.47	738.2
DNAJB2	-0.0001	0.34	438.4
DNAJB4	0.0044	0.23	1450.9
DNAJB6	-0.0014	0.24	1829
DNAJC1	-0.0015	0.09	2128.8
DNAJC10	-0.003	0.11	1085.5
DNAJC11	-0.0017	0.08	1091.2
DNAJC12	0.0011	0.06	403.3
DNAJC13	-0.0038	0.13	386.9
DNAJC14	0.0029	0.09	749.5
DNAJC15	0.0002	0.05	1509.4
DNAJC16	0.0018	0.25	429.7
DNAJC18	0.0029	0.4	225.8
DNAJC19	0.0002	0.04	1562.6
DNAJC2	0.0003	0.14	1831.9
DNAJC21	0	0.12	2462.6
DNAJC25	-0.002	0.23	409.1
DNAJC3	0.0027	0.28	457.1
DNAJC30	0.0025	0.38	572.6
DNAJC4	-0.0014	0.33	200.5
DNAJC5	0.0013	0.16	372.1
DNAJC7	0.0008	0.19	2486.4
DNAJC8	0	0.14	2899.8
DNAJC9	-0.0015	0.08	2532.4
DNAL1	0.0003	0.24	170.1
DNASE1L1	0.0017	0.19	1136.3
DNASE2	-0.0023	0.29	991.4
DNM1L	-0.0018	0.07	4876.5
DNM1P17	0.0027	0.14	1963.8
DNM2	-0.002	0.23	216.8
DNMBP	0.0128	0.26	426.8
DNMT1	-0.0024	0.28	2852.2
DNMT3A	0.0008	0.24	143.6
DNMT3B	0	0.12	592
DNPEP	-0.0012	0.06	708.9
DNTTIP1	0.0029	0.09	2319.6
DNTTIP2	0.002	0.07	10467.3
DOCK1	-0.0009	0.19	256.9
DOCK11	0.001	0.46	123.5
DOCK5	0.0002	0.08	645.7
DOCK6	0.0012	0.25	131.6
DOCK7	-0.0004	0.14	208.7
DOCK9	0.0003	0.21	211
DOHH	0.0003	0.41	365.4
DOK1	0.0015	0.18	106
DOK7	0.0026	0.3	246.3
DOLK	0.0047	0.16	1270.3
DOLPP1	0.0044	0.21	951.6
DOM3Z	0.0019	0.09	943.7
DONSON	0.0002	0.11	3621.4
DOPEY1	0.0001	0.25	130
DOT1L	0.0014	0.49	152.6
DPAGT1	-0.001	0.17	1470.1
DPF2	0.0078	0.14	2915.9
DPH1	0.0026	0.38	298.2
DPH2	0.0009	0.2	1078.6
DPH3	-0.0006	0.06	1588.5
DPH5	-0.0012	0.02	1795.7
DPM1	-0.0045	0.14	7311.1
DPM2	0.0012	0.12	3089
DPM3	-0.0003	0.11	1306.6
DPP8	0.0002	0.16	1095.2
DPP9	-0.0026	0.34	246
DPPA2	-0.0028	0.5	410.6
DPY19L1	-0.001	0.09	352
DPY19L3	-0.0037	0.22	673.4
DPY19L4	-0.0038	0.25	597.4
DPY30	-0.0001	0.26	7754.9
DPYSL2	-0.0026	0.3	4467.8
DR1	0.0014	0.1	2487.3
DRAM1	-0.0011	0.18	1886.6
DRAM2	-0.0006	0.02	828.7
DRAP1	-0.0018	0.23	1600.3
DRG1	-0.0009	0.27	6356.9
DSCC1	0.003	0.08	899
DSCR3	0.0025	0.1	586.6
DSE	0.0025	0.4	1169.8
DSG2	-0.0019	0.23	1131.3
DSN1	0.0001	0.29	1125.3
DSP	-0.0049	0.14	4313.5
DST	-0.0003	0.06	683.7
DSTN	-0.0034	0.08	16253.8
DSTYK	0.0039	0.16	373.3
DTD1	-0.0012	0.04	1297.8
DTL	0.005	0.06	3385
DTNBP1	0.0008	0.11	606.6
DTWD1	-0.0006	0.36	577.5
DTX3	0.0015	0.15	167.8
DTX3L	0.0008	0.37	777.1
DTX4	0.0031	0.1	615.7
DTYMK	0.0009	0.06	895.1
DULLARD	0.0045	0.47	1446.2
DUS1L	-0.001	0.22	2403.4
DUS2L	0.0003	0.35	332.9
DUS3L	0.0022	0.17	918.6
DUS4L	0.0012	0.02	460.1
DUSP10	0.0138	0.11	290.8
DUSP11	0.0059	0.11	2266
DUSP12	0.002	0.01	2624.6
DUSP14	0.0034	0.29	1610
DUSP16	0.0163	0.2	420.7
DUSP22	-0.0003	0.07	514.6
DUSP23	0.0034	0.42	680.8
DUSP3	0.0004	0.04	732.7
DUSP7	0.0093	0.42	486.8
DUT	-0.0022	0.09	9018.3
DVL2	-0.0011	0.12	492.6
DVL3	-0.0015	0.32	467.6
DYM	0.0015	0.02	334.7
DYNC1H1	0.0009	0.11	1455.5
DYNC1I2	-0.0008	0.04	3410.2
DYNC1LI1	0.0003	0.18	2026.5
DYNC1LI2	-0.0008	0.16	2444.5
DYNC2H1	-0.0018	0.17	132.5
DYNC2LI1	-0.003	0.38	162.1
DYNLL1	-0.0016	0.05	17012.8
DYNLL2	0.0015	0.22	487.4
DYNLRB1	-0.0002	0.07	4032.7
DYNLT1	-0.0014	0.06	4232.1
DYNLT3	-0.0042	0.09	7147.4
DYRK1A	0.0132	0.12	950.9
DYRK2	0.0097	0.16	340.8
DYRK4	0.0013	0.18	703
DZIP1	-0.0024	0.11	212
DZIP3	-0.002	0.37	190
E2F1	0.0011	0.45	497.9
E2F2	0.0038	0.25	265.8
E2F3	0.0053	0.21	1206.2
E2F4	-0.002	0.25	321.5
E2F5	0.0078	0.39	343.9
E2F7	0.0068	0.26	1034.2
E4F1	0.0053	0.24	611.8
EAPP	0.0004	0.38	2011.2
EARS2	0.0012	0.12	444.4
EBAG9	0.0003	0.12	1802.6
EBNA1BP2	-0.0029	0.02	4152.7
EBP	-0.0007	0.18	8267
EBPL	-0.0011	0.11	4785.6
ECD	0.0019	0.3	1582.2
ECE2	0.0011	0.19	251.8
ECHDC1	-0.0031	0.14	2736.2
ECHDC2	-0.0024	0.35	125
ECHDC3	0.0014	0.43	202.1
ECHS1	-0.0014	0.08	9584.9
ECM1	-0.0033	0.47	134.2
ECSIT	-0.0003	0.24	697.6
EDC3	0.0019	0.16	639.2
EDEM1	0.0001	0.1	558.5
EDEM2	0.0014	0.28	550.1
EDF1	-0.0027	0.19	11856.7
EDIL3	-0.0035	0.11	1460.7
EDNRA	-0.0005	0.31	284.6
EEA1	-0.0019	0.4	293.8
EED	0.0051	0.13	3223.1
EEF1A2	-0.001	0.44	3328.6
EEF1B2	-0.0017	0.17	21592.5
EEF1D	-0.0014	0.08	17997.4
EEF1E1	0.0006	0.11	8091.8
EEF2	-0.0018	0.14	18186.4
EEF2K	-0.0014	0.15	1104.2
EFCAB7	0.0029	0.22	480.2
EFEMP1	-0.0027	0.05	3849.3
EFHC1	-0.0012	0.02	529.5
EFHD2	-0.0005	0.29	349.6
EFNA1	0.0173	0.17	2071.5
EFNA4	0.0165	0.48	317.7
EFNA5	0.0027	0.11	266
EFNB2	0.0137	0.19	294.8
EFR3A	-0.0006	0.32	2287.1
EFTUD1	0.0031	0.09	1246.6
EFTUD2	-0.0007	0.04	3553.8
EGFR	-0.0012	0.22	481.4
EGLN1	0.003	0.3	627.5
EGLN2	0.0031	0.29	496.1
EHBP1	0.0024	0.04	1319.6
EHBP1L1	-0.0015	0.13	476.6
EHD1	0.0023	0.04	402.5
EHD2	-0.0005	0.35	927.3
EHD4	0.0001	0.05	260.7
EHMT1	-0.0002	0.12	567.7
EHMT2	-0.0005	0.21	530.7
EI24	-0.0023	0.24	3026.1
EID2	0.0026	0.31	1185.8
EIF1	0.0014	0.15	10562.2
EIF1AX	-0.0041	0.07	5024.5
EIF1B	-0.0022	0.3	3681.6
EIF2A	-0.0051	0.14	6262.6
EIF2AK1	-0.0013	0.22	3118.5
EIF2AK2	-0.0024	0.15	844.9
EIF2AK3	0.0061	0.16	350.7
EIF2B1	-0.0011	0.09	4716.6
EIF2B2	0.0005	0.12	4447.7
EIF2B3	-0.0009	0.16	2827
EIF2B4	-0.0009	0.13	1764.6
EIF2B5	-0.0017	0.2	679.9
EIF2C1	-0.0031	0.08	369
EIF2C2	-0.0004	0.12	922.9
EIF2C3	0.0015	0.13	909.4
EIF2S1	-0.0012	0.04	4749.8
EIF2S2	-0.001	0.27	9770.4
EIF2S3	-0.0029	0.08	9608.2
EIF3A	-0.0014	0.09	4286.6
EIF3B	0.0001	0.03	4249.2
EIF3D	0.0002	0.04	9127.6
EIF3E	-0.0013	0.12	5608.6
EIF3F	-0.0014	0.02	7323
EIF3G	-0.0011	0.12	5683.7
EIF3H	-0.001	0.4	10127.7
EIF3I	-0.0022	0.13	9565.5
EIF3J	-0.0012	0.06	4292.9
EIF3K	-0.0015	0.04	9458.1
EIF3L	-0.0009	0.08	16963
EIF3M	-0.0035	0.17	9309.5
EIF4A2	0.0031	0.16	9064.4
EIF4A3	0.0013	0.15	9970.7
EIF4B	-0.0001	0.15	9253.5
EIF4E2	-0.0019	0.12	1493.2
EIF4E3	-0.0028	0.18	167.7
EIF4EBP1	-0.0018	0.12	3574.1
EIF4EBP2	0.0023	0.09	497.1
EIF4ENIF1	0.0104	0.22	350
EIF4G1	-0.0004	0.05	2462.2
EIF4G2	-0.0012	0.06	7361.9
EIF4G3	-0.0021	0.19	269
EIF4H	0	0.04	8393
EIF5	0.005	0.02	7298.7
EIF5A	-0.0017	0.12	4707.1
EIF5A2	-0.0018	0.44	168.4
EIF5B	-0.0023	0.04	3502.5
EIF6	-0.0006	0.13	7810
ELAC2	0.0011	0.08	2946.7
ELAVL1	-0.0015	0.11	1937.6
ELF1	0.0087	0.24	380
ELF2	0.0093	0.25	420.8
ELF3	0.0123	0.16	211.5
ELF4	0.0076	0.22	509
ELK1	-0.0013	0.04	553
ELK3	-0.0018	0.34	105.8
ELK4	-0.0006	0.16	472.9
ELL2	0.0014	0.14	748.6
ELMO2	0.0021	0.12	470.6
ELMOD2	-0.0013	0.09	830.6
ELOF1	0.001	0.23	1121.3
ELOVL1	-0.0009	0.04	3098.8
ELOVL5	0.0006	0.01	2795.3
ELOVL6	-0.003	0.19	452.2
ELOVL7	0	0.28	341.1
ELP2	0.0038	0.26	549.6
ELP3	0.0001	0.06	1098
ELP4	-0.0009	0.14	756.1
EMB	-0.0004	0.09	364.4
EME1	-0.0041	0.05	687.3
EME2	-0.0034	0.48	121
EMG1	0.0016	0.18	9369
EML2	-0.0004	0.1	211.7
EML4	0.0023	0.07	814.4
EMP2	0.0003	0.29	1749.3
EMP3	0.0001	0.07	4850.9
EMR2	0.0005	0.09	377.7
ENAH	-0.0009	0.29	3436.6
ENDOG	-0.0015	0.12	1873.8
ENG	-0.0014	0.11	472.3
ENGASE	-0.0041	0.15	245.9
ENO1	-0.0014	0.3	15224.5
ENO2	0.0013	0.17	771.1
ENO3	-0.0017	0.07	1024.6
ENOPH1	-0.0024	0.08	4900.9
ENOSF1	-0.0017	0.19	3545.5
ENOX1	0.0043	0.27	124.2
ENOX2	0.0021	0.43	137.7
ENSA	0.0003	0.02	1653.7
ENTPD4	0.0007	0.07	414.6
ENTPD6	0.0003	0.16	174.2
ENTPD7	0.0042	0.38	193.6
ENY2	-0.0014	0.08	6814.9
EOMES	0.0063	0.45	292.8
EPAS1	-0.0011	0.16	3587.8
EPB41	-0.0015	0.07	297.6
EPB41L2	-0.0005	0.22	604.8
EPB41L4A	0.002	0.08	331.6
EPB41L4B	0.0028	0.11	269
EPB41L5	-0.0019	0.22	112.1
EPDR1	0.0022	0.15	1274.9
EPHA2	0.0054	0.22	1256.5
EPHA7	0.0029	0.3	125.1
EPHB2	-0.0011	0.16	435.5
EPHB4	0.0029	0.26	342.8
EPHX1	-0.0009	0.16	1258.6
EPM2AIP1	0.0047	0.25	1597.4
EPN2	0.0021	0.22	286.2
EPRS	0.0006	0.11	4791.6
EPS15	-0.0002	0.08	616.2
EPS15L1	-0.0016	0.2	129.5
EPS8	-0.0012	0.2	578.7
EPS8L1	-0.0015	0.09	102.8
EPS8L2	-0.0004	0.36	391.8
ERAL1	-0.0001	0.13	1242.1
ERAP1	-0.0059	0.34	132.9
ERBB2	0.0001	0.2	429.2
ERBB2IP	0.0006	0.06	2835.5
ERC1	0.0019	0.16	630.8
ERCC1	-0.0011	0.1	1232.9
ERCC2	-0.0042	0.35	201.9
ERCC3	0.0026	0.06	689.7
ERCC4	0.006	0.19	407.8
ERCC5	-0.0008	0.16	742.4
ERCC6	0.005	0.08	215
ERCC6L	0.0034	0.35	645.2
ERCC8	-0.0002	0.1	322.1
ERF	0.0078	0.46	311.3
ERG	0.0051	0.33	101.4
ERGIC1	-0.0027	0.41	616.4
ERGIC2	-0.0019	0.07	5810.3
ERGIC3	-0.0002	0.06	2128.1
ERH	-0.0025	0.15	16218.5
ERI1	0.0005	0.05	713.8
ERI2	0.0006	0.08	433
ERI3	-0.0011	0.14	716.2
ERICH1	0.0004	0.03	175.4
ERLIN1	-0.0014	0.05	1949.7
ERLIN2	-0.0029	0.22	338.8
ERMP1	-0.0025	0.22	913.8
ERO1L	-0.0032	0.19	1149.5
ERP29	-0.0009	0.04	7494.9
ERP44	-0.001	0.12	1059.3
ERRFI1	0.0097	0.07	694.8
ESCO1	0.0056	0.1	718.8
ESCO2	0.0003	0.34	322.5
ESD	-0.0037	0.1	2087.8
ESF1	0.003	0.38	937.2
ESPL1	0.0032	0.21	1881.8
ESRP2	-0.0013	0.24	289.1
ESRRA	0.0018	0.1	636.4
ESYT1	-0.0005	0.13	1532.3
ESYT2	-0.0022	0.12	629.5
ETF1	-0.0006	0.02	7880.5
ETFA	-0.0019	0.03	3612.3
ETFB	-0.0013	0.07	1272.8
ETFDH	-0.0027	0.08	496.3
ETHE1	0.0003	0.03	1847.3
ETNK1	0.0002	0.4	491.4
ETS2	0.0127	0.1	1177.8
ETV3	0.0155	0.16	443
